City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Barrow,76,AR,1551828795,30,-38.31,-60.23,70.43,7.96
Sioux Lookout,40,CA,1551826800,50,50.1,-91.92,5.0,8.05
Holbeach,75,GB,1551828841,100,52.8,0.02,48.2,12.75
Mahebourg,20,MU,1551826800,74,-20.41,57.7,80.6,3.36
Husavik,80,CA,1551828605,68,50.56,-96.99,14.0,5.01
Borisoglebskiy,90,RU,1551826800,86,57.26,39.15,37.4,8.95
Port Lincoln,68,AU,1551828871,90,-34.72,135.86,63.18,15.01
Punta Arenas,75,CL,1551828190,52,-53.16,-70.91,48.2,6.93
Kapaa,20,US,1551828695,47,22.08,-159.32,77.0,19.46
Te Anau,12,NZ,1551828865,51,-45.41,167.72,68.22,11.65
Bredasdorp,0,ZA,1551827819,88,-34.53,20.04,69.01,1.12
Bethel,75,US,1551828120,93,60.79,-161.76,35.6,10.29
Cape Town,0,ZA,1551828771,88,-33.93,18.42,69.01,6.93
Ribeira Grande,0,PT,1551828880,100,38.52,-28.7,58.23,15.68
Walvis Bay,20,NA,1551826923,82,-22.95,14.51,66.99,8.05
Velke Hamry,36,CZ,1551828831,86,50.71,15.32,39.0,1.01
Carnarvon,0,ZA,1551828870,41,-30.97,22.13,58.55,2.93
Cap Malheureux,20,MU,1551826800,74,-19.98,57.61,80.6,3.36
Qaanaaq,36,GL,1551828882,82,77.48,-69.36,-9.5,5.17
Victoria,75,BN,1551825000,100,5.28,115.24,78.8,1.12
Yellowknife,20,CA,1551826800,61,62.45,-114.38,15.8,4.7
Zhigansk,88,RU,1551828884,87,66.77,123.37,6.48,11.1
Aberystwyth,92,GB,1551828616,95,52.41,-4.08,46.99,14.0
Rikitea,76,PF,1551828885,97,-23.12,-134.97,80.82,15.12
Puerto Ayora,20,EC,1551826800,66,-0.74,-90.35,84.2,10.29
Ushuaia,40,AR,1551826800,75,-54.81,-68.31,42.8,29.97
Dicabisagan,12,PH,1551828890,100,17.08,122.42,74.25,3.15
Mar del Plata,76,AR,1551828661,54,-46.43,-67.52,61.83,24.63
Cockburn Town,8,TC,1551828891,97,21.46,-71.14,78.08,11.77
Arkhangelskoye,88,RU,1551828892,93,54.46,37.62,34.61,19.93
Ancud,90,CL,1551826800,100,-41.87,-73.83,55.4,16.11
Georgetown,20,GY,1551826800,83,6.8,-58.16,80.6,4.7
Nanortalik,80,GL,1551828893,100,60.14,-45.24,25.29,31.68
Avarua,76,CK,1551826800,61,-21.21,-159.78,82.4,11.41
Kushima,75,JP,1551828789,87,31.5,131.29,55.4,5.82
Hithadhoo,92,MV,1551828677,100,-0.6,73.08,81.68,6.73
Henties Bay,24,NA,1551826923,94,-22.12,14.28,66.99,5.99
Adrar,0,DZ,1551826800,20,27.87,-0.29,64.4,11.41
Tasiilaq,20,GL,1551826200,44,65.61,-37.64,19.4,24.16
Mlimba,24,TZ,1551828923,95,-8.78,35.81,69.98,2.04
Sur,0,OM,1551828926,100,22.57,59.53,67.23,2.15
Cherskiy,88,RU,1551828827,75,68.75,161.3,0.0,2.93
Katsuura,75,JP,1551828282,70,33.93,134.5,52.0,5.82
Uray,8,RU,1551828930,78,60.13,64.8,4.28,7.63
Mega,12,ET,1551828934,76,4.06,38.32,59.94,4.16
Jacareacanga,64,BR,1551828935,95,-6.22,-57.76,73.8,4.72
Kusa,24,RU,1551828935,82,55.34,59.45,16.2,5.84
Port Hardy,20,CA,1551826800,41,50.7,-127.42,39.2,4.7
Belmonte,92,PT,1551828757,70,40.36,-7.35,57.99,21.0
Ostrovnoy,68,RU,1551828918,78,68.05,39.51,11.52,19.04
Jamestown,8,AU,1551828943,84,-33.21,138.6,57.78,13.0
Manacapuru,75,BR,1551826800,78,-3.3,-60.62,80.6,5.84
Dikson,76,RU,1551828854,100,73.51,80.55,10.13,13.56
Esperance,20,TT,1551828723,83,10.24,-61.45,78.01,8.05
Aljezur,92,PT,1551828730,90,37.31,-8.8,60.01,11.01
Pasaje,20,MX,1551828975,19,24.93,-103.81,71.01,7.4
Hilo,90,US,1551828754,73,19.71,-155.08,70.0,14.99
Vaini,8,IN,1551828976,86,15.34,74.49,54.36,1.81
Batagay,48,RU,1551828977,54,67.65,134.64,-19.35,2.93
Nikolskoye,40,RU,1551828635,85,59.7,30.79,16.0,13.42
Bluff,20,AU,1551828982,57,-23.58,149.07,84.83,10.42
Atuona,36,PF,1551828983,100,-9.8,-139.03,82.08,16.91
Bodden Town,20,KY,1551828605,74,19.28,-81.25,82.4,5.82
Busselton,48,AU,1551828680,35,-33.64,115.35,62.01,21.27
